customer_id,age,region,join_date
846896,25,North,2023-12-28
216613,77,West,2022-07-04
371208,54,North,2021-04-28
730143,60,North,2023-09-06
676267,60,West,2022-06-25
832786,42,South,2020-04-03
222665,52,East,2022-08-10
205406,31,East,2021-01-29
311885,69,North,2021-03-03
110560,75,East,2023-10-26
398369,41,South,2021-10-03
465456,53,East,2022-12-27
513019,64,East,2021-10-01
657204,57,West,2022-01-16
770687,32,South,2023-07-27
517950,24,East,2023-01-01
674173,57,West,2020-10-09
177635,22,North,2020-08-01
599371,18,North,2021-09-20
285451,31,West,2021-08-20
996043,58,South,2024-06-22
230005,80,South,2024-06-21
107782,32,East,2021-08-04
574874,20,West,2024-09-22
128234,33,East,2024-01-06
418508,29,South,2023-04-02
475894,36,North,2020-10-12
516926,23,South,2021-11-06
827921,57,West,2024-03-30
397485,48,West,2024-08-06
163011,70,North,2024-12-31
156131,74,South,2023-04-15
388827,58,West,2024-05-19
484180,46,North,2020-07-29
891290,26,North,2024-05-29
315685,46,West,2020-04-22
967002,58,South,2021-06-03
431575,63,East,2021-04-14
924218,28,West,2020-04-24
732899,18,East,2022-07-05
319050,62,North,2021-07-22
458918,41,South,2022-01-13
391008,43,South,2024-06-04
376536,71,East,2022-08-30
769201,48,North,2020-12-19
382451,30,East,2024-01-06
596531,67,East,2021-10-18
821497,22,South,2023-01-16
512489,30,North,2020-04-26
574873,75,East,2023-11-28
239782,37,East,2024-04-25
136322,62,South,2023-09-15
311351,30,East,2025-01-01
721638,28,West,2020-12-26
133352,68,South,2024-07-26
140328,28,West,2022-09-15
746211,44,North,2021-01-02
816650,38,South,2020-09-25
118207,35,South,2021-02-24
668347,22,South,2020-10-11
818991,26,West,2020-11-09
388613,52,West,2023-02-02
741036,59,South,2023-10-12
285173,51,North,2023-09-21
223467,31,East,2022-05-12
267717,41,North,2022-12-28
304655,20,West,2021-05-07
367352,57,West,2023-08-09
182681,42,East,2020-03-05
323074,40,North,2020-10-09
937250,56,North,2020-03-14
882597,68,East,2024-03-27
826771,43,East,2023-12-14
114611,58,West,2023-07-18
479987,61,East,2020-11-10
417363,21,North,2022-07-27
467561,23,East,2023-05-29
647869,76,South,2020-04-16
354339,54,West,2024-09-13
695449,21,West,2022-08-11
866152,24,East,2022-01-02
434047,63,East,2022-07-13
376295,31,South,2023-09-12
355086,80,North,2024-01-04
297328,58,West,2022-03-19
939698,69,West,2024-08-15
546240,55,South,2021-06-21
664381,51,North,2022-10-19
319553,80,South,2025-01-29
561982,42,South,2024-05-18
626114,75,West,2021-05-05
113622,33,South,2020-09-08
287698,62,West,2022-11-27
384298,43,North,2021-12-26
484648,31,West,2020-08-17
804171,67,North,2020-11-19
195739,28,East,2024-09-30
557844,26,South,2020-12-02
827953,27,East,2022-11-29
589483,60,South,2020-07-09
749813,74,South,2023-07-15
161119,56,East,2024-03-31
359491,49,East,2020-12-11
618169,20,South,2022-03-15
445453,45,West,2022-02-11
229144,60,North,2021-05-27
739235,63,South,2023-11-17
953991,68,West,2021-01-05
179415,54,West,2020-05-20
319524,70,North,2023-03-25
781649,76,West,2021-11-24
946653,34,South,2022-04-11
139160,43,West,2022-04-03
284938,78,West,2021-03-30
833313,44,East,2020-02-22
476009,80,North,2024-05-12
828073,32,North,2024-05-19
718136,28,East,2023-04-28
939489,60,South,2021-09-11
268153,29,West,2022-12-31
681591,57,South,2022-08-09
330159,31,West,2023-01-23
370491,57,South,2020-09-13
870223,39,East,2024-05-14
433268,38,East,2020-09-12
669381,45,East,2021-04-14
383519,73,West,2023-02-04
973920,58,South,2020-03-16
986430,70,North,2024-02-09
860006,25,North,2021-07-28
782729,74,North,2023-05-04
885032,67,East,2023-10-15
701043,32,North,2024-08-31
692976,20,East,2020-09-15
405325,26,West,2022-01-08
510991,67,South,2022-09-13
893757,52,West,2021-06-25
970704,51,North,2022-03-14
698848,51,South,2020-07-29
576794,50,East,2023-11-17
370940,62,East,2024-10-05
264102,54,West,2021-09-09
453494,34,East,2022-08-15
437201,64,North,2023-02-09
652116,74,North,2021-03-22
152617,56,East,2022-12-19
450956,40,East,2024-08-02
825329,51,South,2020-11-03
697310,53,South,2023-01-04
284020,63,West,2021-09-06
526424,62,South,2020-04-22
415148,36,West,2024-08-27
376397,60,North,2024-05-17
595667,54,West,2023-04-25
841028,36,East,2021-02-26
214480,28,South,2021-05-26
912355,34,West,2023-08-02
208041,41,West,2022-01-22
983848,19,East,2021-11-12
937391,44,West,2020-09-22
378325,37,South,2024-04-04
738653,61,East,2024-05-25
257630,64,East,2024-11-16
750704,44,East,2024-03-30
532476,34,South,2024-08-15
754439,57,East,2020-05-06
454934,46,East,2024-10-29
356863,55,East,2022-02-12
160878,48,East,2021-05-03
493909,53,West,2025-01-29
167710,22,North,2020-06-29
530116,36,East,2021-11-23
664040,53,West,2021-04-25
248148,72,West,2021-01-26
470435,18,South,2024-10-21
679818,51,North,2021-09-05
614894,77,East,2021-05-17
599977,43,West,2020-05-29
733786,71,South,2021-02-11
127864,23,West,2020-11-27
421801,76,North,2023-06-23
645232,66,East,2024-01-12
968261,75,West,2023-02-20
677518,19,North,2022-10-22
851305,42,South,2021-03-02
407239,63,South,2025-01-28
724197,28,East,2022-06-07
946228,52,East,2022-12-04
981224,59,South,2024-10-09
180896,29,East,2020-09-17
604589,58,South,2021-10-15
958712,47,West,2024-03-26
157935,40,East,2024-08-05
901174,54,North,2020-08-10
103799,31,East,2025-01-05
490279,29,North,2023-01-06
440377,80,South,2025-01-02
115472,66,North,2021-05-13
451536,24,North,2024-02-03
314736,27,North,2022-05-21
719678,31,East,2020-08-29
898619,25,West,2020-11-08
270743,31,West,2021-03-15
914171,29,West,2020-08-15
356836,66,North,2020-06-07
975740,58,East,2025-01-16
837946,42,West,2024-01-13
200580,59,West,2021-09-07
593351,71,South,2024-09-12
603503,23,West,2020-12-17
891649,35,South,2022-08-04
613331,19,West,2022-02-17
986980,55,South,2024-04-08
651428,39,North,2022-04-22
826095,18,South,2020-05-01
597396,23,North,2020-08-24
361878,32,South,2023-06-01
503434,49,North,2020-03-04
890187,72,South,2023-10-17
642318,28,North,2020-10-17
596751,74,East,2020-11-15
109468,43,East,2022-10-04
915201,22,North,2020-12-24
446903,73,West,2023-09-23
500167,34,East,2024-10-30
419959,68,South,2021-02-22
763194,44,East,2023-09-12
571468,26,East,2021-11-07
206365,38,East,2020-11-07
298564,69,East,2020-05-21
306767,41,East,2023-03-28
658660,69,East,2023-08-24
975520,34,North,2024-05-27
643344,59,East,2020-04-21
973699,75,West,2022-04-01
311680,39,North,2022-01-01
825520,33,South,2022-11-26
668314,73,North,2021-05-10
567732,67,South,2020-03-09
979263,80,North,2021-08-04
520468,72,West,2024-03-21
798689,24,West,2021-02-26
831491,53,South,2022-11-26
252734,29,East,2023-07-04
791638,24,West,2024-07-24
867778,38,East,2024-07-03
878819,26,South,2023-09-20
268922,23,East,2022-10-30
540552,28,North,2022-04-04
598474,78,West,2024-05-14
536895,54,East,2022-01-30
246920,71,South,2023-06-24
287804,59,South,2023-10-02
366551,69,South,2020-06-15
150796,48,West,2020-12-16
142974,70,West,2023-04-01
682394,49,East,2021-11-30
593438,42,East,2021-02-01
628882,42,South,2022-03-21
354353,75,East,2022-12-19
478300,75,East,2024-03-04
475777,67,North,2024-03-06
339569,20,West,2024-05-29
699214,43,East,2020-09-13
520308,20,South,2022-10-18
297753,57,East,2020-09-13
899591,18,South,2023-09-12
774432,67,North,2023-09-14
559894,34,West,2025-01-08
326208,71,West,2021-11-09
317500,69,West,2020-03-15
935065,68,West,2022-05-30
453912,31,East,2024-09-15
344785,31,West,2021-08-24
642926,55,West,2022-07-29
964338,72,West,2021-11-29
284960,19,South,2023-10-14
917903,61,South,2024-11-05
105654,31,West,2022-12-22
256810,41,North,2021-01-18
113210,76,West,2020-10-25
963316,47,West,2024-12-14
974574,44,East,2024-03-06
323498,32,East,2024-09-10
249229,59,North,2020-11-18
187449,63,East,2024-04-29
435461,76,East,2023-04-26
383734,60,West,2022-02-26
396393,60,North,2024-12-26
835421,67,South,2021-11-05
199210,44,East,2022-01-19
871502,28,South,2023-04-19
645286,65,East,2024-01-12
994038,44,West,2023-11-26
602238,20,South,2021-04-01
232516,79,West,2023-10-28
984427,23,East,2024-07-16
708339,76,South,2020-02-25
904542,68,North,2021-10-21
177027,46,East,2023-10-17
392286,72,North,2020-03-07
502286,59,East,2022-07-22
533418,26,South,2022-02-19
219811,54,East,2020-03-17
738321,19,North,2022-03-31
305662,74,North,2021-05-27
162790,37,South,2024-01-06
514750,75,East,2023-12-15
636173,62,North,2022-03-04
319434,42,East,2024-02-05
956026,43,East,2021-01-03
566754,77,North,2020-09-25
596804,38,South,2022-05-08
656545,37,South,2021-03-16
358010,76,West,2020-06-05
816893,31,North,2024-01-04
325639,68,North,2020-06-18
654639,55,South,2024-10-09
390330,49,East,2022-09-30
224093,80,East,2022-09-26
387357,46,West,2021-01-04
102097,78,North,2021-04-22
958927,36,North,2021-08-03
626452,78,North,2022-02-12
749903,35,West,2021-11-14
401743,27,North,2024-08-23
420998,79,South,2023-04-21
383053,57,West,2022-05-31
586896,75,West,2022-07-11
932710,23,East,2020-09-30
339628,42,South,2024-11-16
690013,60,West,2021-08-01
323774,47,West,2024-10-25
355171,25,West,2023-06-06
104322,56,West,2021-07-10
425237,72,South,2022-06-09
624855,31,North,2020-08-31
343049,24,South,2022-08-07
235982,25,South,2024-12-01
231454,33,South,2024-01-22
592507,26,South,2020-03-31
637624,68,East,2023-08-23
488089,68,East,2020-12-20
964236,52,West,2024-12-10
893156,32,South,2024-11-06
762779,46,North,2020-12-13
386840,63,North,2024-10-29
390442,68,North,2025-01-15
872217,49,West,2021-04-02
765401,55,East,2021-02-06
705471,42,East,2024-03-26
280136,33,West,2023-03-11
929548,72,South,2024-04-03
440927,66,South,2020-08-30
381952,65,West,2021-08-24
792536,66,East,2020-11-09
141033,52,North,2020-12-29
903116,67,South,2021-07-17
145628,27,East,2023-05-06
932686,40,East,2023-10-19
264368,55,East,2020-02-08
129136,53,West,2020-03-25
971568,41,West,2021-03-26
255326,39,South,2024-02-04
217265,26,East,2024-08-15
817339,22,West,2022-01-04
543280,77,East,2023-07-27
879105,39,North,2021-08-25
459950,80,North,2022-01-19
674118,33,East,2023-09-23
794901,72,North,2024-02-05
131663,53,South,2021-01-10
477382,79,West,2020-02-06
571550,75,West,2024-12-22
209507,80,West,2024-10-31
530375,42,West,2021-11-03
791078,28,North,2024-06-01
697546,34,North,2020-12-16
328813,41,North,2024-10-03
907793,54,South,2022-09-04
616971,67,East,2020-09-18
513428,71,East,2023-03-26
269229,62,North,2022-03-16
577463,52,South,2021-03-23
925333,54,East,2021-02-02
148594,37,East,2020-04-20
222001,44,North,2021-03-24
562577,31,South,2024-01-12
993727,70,East,2022-11-10
645634,43,West,2020-03-11
450978,65,West,2025-01-12
351775,20,West,2024-02-19
539422,56,North,2023-02-19
899271,22,East,2021-07-12
742523,22,East,2020-10-27
914798,24,South,2022-01-08
379856,73,West,2024-06-04
122147,18,West,2023-06-24
325626,59,North,2022-03-22
239959,69,West,2024-07-08
390971,49,North,2021-02-15
811083,76,East,2024-04-01
329615,51,South,2022-11-16
840958,41,South,2020-08-24
718107,76,North,2024-07-30
451154,53,East,2024-06-16
771861,46,South,2024-09-08
664437,42,East,2023-07-05
279632,36,South,2022-01-11
351006,20,South,2022-07-03
342721,61,South,2020-06-08
485219,79,East,2022-09-14
837350,47,North,2023-04-09
756693,19,West,2023-09-28
962892,22,South,2021-08-25
128106,70,East,2024-10-03
235273,49,North,2023-03-14
534670,43,West,2021-10-08
953544,44,South,2020-11-07
599973,50,North,2020-02-14
939018,57,South,2021-08-08
219523,70,East,2024-07-04
767876,34,East,2020-11-13
919232,58,West,2020-10-10
721003,37,East,2020-10-29
459018,20,South,2021-08-08
964663,57,East,2021-12-23
955199,38,West,2022-08-11
932823,38,North,2021-12-01
335697,28,East,2021-09-29
816071,35,North,2021-10-30
252426,22,West,2020-06-02
710770,80,South,2024-06-01
546418,44,East,2021-09-17
145463,45,South,2021-06-30
902995,55,West,2020-03-30
892727,59,North,2020-12-20
648362,35,East,2024-08-07
670117,43,North,2023-12-23
835113,18,North,2024-01-15
859042,67,East,2023-11-14
972196,19,North,2021-10-19
878711,23,South,2020-10-23
983205,44,South,2023-03-15
246146,60,South,2020-06-05
914772,62,South,2020-04-05
671546,39,East,2024-09-16
853305,42,South,2021-01-12
558126,57,West,2021-05-17
609808,29,South,2022-10-10
329981,70,North,2023-05-30
756595,52,West,2022-05-10
384485,63,West,2024-11-22
666208,40,West,2021-12-03
599354,23,East,2024-05-18
874356,73,North,2021-10-19
828819,18,North,2020-08-10
426538,70,South,2023-10-07
135278,36,North,2023-04-13
518814,52,South,2022-06-25
565754,39,North,2023-12-11
736274,40,West,2023-02-25
264176,46,North,2020-03-24
297882,28,South,2022-09-06
944743,28,South,2022-04-30
568515,48,South,2023-02-26
868691,42,West,2021-07-13
314672,30,South,2022-08-11
190422,40,South,2020-06-07
673243,47,East,2023-09-15
117195,43,West,2022-02-12
776504,25,North,2020-09-12
754339,65,West,2022-02-05
173107,46,South,2020-10-10
120247,30,South,2024-03-21
778991,30,North,2021-10-06
542656,34,South,2020-07-20
551018,42,South,2020-09-17
815561,22,West,2024-07-26
517743,37,East,2021-09-22
167276,80,East,2023-05-01
190623,39,South,2021-08-31
401157,32,South,2022-10-09
273890,49,North,2020-04-30
301708,21,West,2020-04-26
223010,24,South,2023-11-05
696652,44,North,2023-04-04
440154,47,South,2020-04-12
174644,43,East,2021-08-17
193980,27,North,2021-04-06
586774,79,South,2020-09-16
471985,45,North,2023-02-28
501700,44,South,2022-09-15
824342,66,East,2022-01-08
193526,37,East,2022-03-08
686938,55,North,2021-02-27
829007,42,South,2022-03-09
499994,63,North,2023-01-24
409554,66,East,2023-08-29
329318,71,East,2020-04-06
172074,50,East,2020-08-26
461653,46,North,2021-02-26
732809,64,South,2021-10-26
839097,29,West,2023-04-06
489739,54,East,2023-04-28
418235,34,South,2023-07-29
197792,51,North,2023-03-26
800842,77,West,2022-10-16
354591,50,East,2024-07-26
238292,27,West,2020-03-18
705852,52,East,2022-05-25
546831,61,East,2020-04-26
727940,55,West,2022-12-17
579906,62,South,2020-02-07
612084,71,North,2024-03-14
143598,28,North,2020-04-13
482399,63,South,2022-06-09
390890,63,South,2023-05-10
310971,69,South,2024-12-04
622928,42,South,2020-04-02
306377,61,North,2024-10-13
472476,78,West,2024-12-18
189537,27,East,2021-09-02
985105,37,North,2024-10-21
132727,57,South,2022-06-14
389259,43,East,2024-10-22
466783,21,East,2021-08-20
354579,80,East,2023-10-27
549539,25,East,2024-03-18
425699,56,West,2021-10-31
284451,20,North,2024-03-09
993613,42,South,2020-02-07
111666,19,West,2025-01-23
867990,78,South,2021-07-20
222459,28,West,2023-02-02
228507,46,East,2024-05-12
187404,28,East,2024-03-21
502181,20,East,2021-03-25
947338,50,South,2024-01-26
922706,66,South,2021-05-11
907957,23,West,2024-03-12
209343,47,North,2023-10-01
216407,68,South,2024-09-08
413204,18,East,2024-10-16
583774,56,East,2024-05-24
983588,22,West,2021-02-02
989187,39,West,2025-01-17
201247,31,West,2022-03-29
728645,60,West,2021-12-13
927523,59,North,2020-11-30
957024,76,North,2024-06-21
467951,65,West,2025-01-17
112297,40,South,2022-10-29
986617,62,North,2020-10-06
857125,76,South,2021-04-07
572837,50,East,2021-06-19
364960,22,South,2020-05-09
150556,55,West,2021-01-03
641894,51,North,2020-11-15
780606,77,North,2023-10-08
765169,35,East,2024-03-03
894465,65,West,2023-05-24
726096,31,South,2021-12-24
839299,54,East,2023-08-25
257831,56,North,2023-08-11
797818,62,North,2024-10-27
149528,55,North,2023-01-03
907092,34,West,2024-08-27
895459,66,North,2023-03-30
111628,75,West,2022-01-18
386931,29,South,2021-07-25
567867,54,North,2021-06-03
881005,36,East,2021-03-27
383596,58,East,2021-03-24
810326,60,East,2022-12-23
250269,79,North,2023-06-20
273350,71,North,2022-11-25
860623,46,West,2022-07-08
797733,50,South,2023-08-27
442282,33,West,2022-01-19
790849,21,West,2024-01-16
959904,29,West,2025-01-20
150147,43,South,2020-04-17
990620,63,South,2024-05-23
950912,64,East,2021-07-22
833654,19,West,2022-05-03
299014,33,North,2022-05-08
618705,67,West,2020-05-27
617343,54,West,2023-01-22
576359,55,South,2022-08-26
553394,37,East,2021-08-26
190703,57,West,2023-05-23
394485,76,East,2024-03-14
675136,57,North,2020-06-26
694340,34,West,2024-06-12
835748,58,East,2021-07-15
117520,35,South,2023-12-21
831725,41,East,2023-02-03
827950,26,South,2020-05-18
835031,41,East,2023-08-24
584999,74,East,2024-06-10
403125,50,East,2020-03-15
283075,75,East,2021-06-27
331507,68,South,2020-09-09
737238,47,West,2021-09-02
350727,38,South,2022-11-07
296976,65,North,2024-07-31
366099,63,East,2023-01-12
305036,34,East,2021-07-25
869887,71,West,2022-02-17
932720,40,South,2022-04-06
909757,28,South,2023-05-02
158353,36,West,2021-05-16
590656,67,East,2023-03-12
656190,37,North,2021-11-05
399202,52,North,2024-02-20
349291,54,West,2024-06-01
722003,20,West,2021-09-05
654463,73,East,2020-04-30
133064,37,North,2022-05-31
183148,27,North,2022-01-14
342194,80,South,2024-08-12
164280,60,South,2022-05-16
920765,59,North,2020-09-14
920250,19,South,2024-01-28
547340,32,South,2024-08-23
840720,65,East,2022-05-22
660008,43,North,2024-07-19
436395,29,West,2023-03-22
658107,70,East,2020-05-03
893526,70,West,2024-12-19
233713,53,South,2022-08-22
648222,60,South,2024-09-07
102060,54,East,2024-10-25
644569,76,West,2024-09-05
300238,56,West,2020-11-23
349505,66,East,2024-07-17
225711,23,North,2022-12-16
547437,35,West,2022-07-15
861352,53,West,2021-06-08
671544,57,East,2021-12-18
823066,42,South,2024-10-03
152644,64,South,2021-03-28
498726,18,West,2024-11-01
739264,74,East,2023-09-24
982802,62,West,2023-12-23
863788,24,West,2024-01-31
654408,42,North,2020-11-09
290249,51,South,2021-06-29
870352,37,West,2020-10-14
347540,37,West,2024-09-11
857768,33,West,2022-10-28
656809,62,East,2024-04-14
739121,69,East,2021-04-13
617111,40,South,2023-02-10
472001,26,East,2024-06-16
206612,73,West,2023-09-06
979886,59,North,2020-05-16
902234,64,South,2020-12-17
947935,29,West,2021-08-08
839956,43,South,2021-07-31
172724,26,East,2024-04-05
769252,66,East,2022-11-01
283143,23,North,2020-10-26
945361,31,North,2021-12-17
504303,37,North,2022-12-27
475181,72,East,2024-03-30
610717,45,South,2022-04-03
561753,57,North,2023-12-26
337712,43,West,2021-04-20
868248,79,South,2020-08-27
824911,71,South,2024-11-03
840039,29,East,2021-01-19
371942,23,West,2021-02-25
349007,66,West,2020-06-10
215598,59,West,2024-02-15
777288,33,East,2024-01-08
239151,53,East,2020-04-21
461278,21,West,2024-11-15
119433,56,North,2022-05-29
226406,71,North,2024-07-06
636170,61,West,2024-02-15
994442,62,South,2024-12-24
939747,39,North,2020-04-28
565683,23,West,2024-03-16
933737,30,South,2021-10-04
992493,60,South,2022-08-30
153453,60,East,2023-09-08
424105,58,West,2020-08-01
479431,30,West,2024-07-08
223826,60,West,2021-09-17
611249,41,East,2021-09-25
483116,32,South,2022-04-26
187883,24,East,2020-05-10
917650,63,East,2021-12-21
396738,64,East,2021-04-01
843371,31,North,2021-10-20
828054,57,North,2021-01-04
722512,56,South,2023-11-11
978482,21,East,2023-12-11
393291,47,North,2024-01-12
609496,32,South,2021-10-14
759627,71,North,2021-03-12
605361,31,North,2023-03-27
623420,51,North,2023-11-18
977679,20,North,2020-12-24
613120,36,West,2023-02-08
689764,64,West,2020-11-23
357160,39,East,2022-11-20
696119,28,South,2021-03-02
674727,61,South,2020-02-17
854978,31,West,2024-05-14
704247,57,East,2021-04-14
998745,35,West,2024-03-15
153056,57,West,2024-06-08
229042,69,West,2024-06-26
743474,34,North,2024-11-27
229696,39,East,2021-10-17
992433,69,West,2020-09-02
534512,67,East,2020-06-20
207031,27,West,2024-04-25
836216,62,West,2021-05-02
773594,57,East,2022-10-21
937571,55,West,2023-05-07
327067,55,North,2023-11-03
879139,29,West,2020-08-11
585044,43,South,2020-05-12
422219,20,West,2022-08-14
342661,31,West,2021-12-12
294798,76,East,2024-10-22
392121,19,North,2024-10-30
129823,68,South,2023-11-10
985700,48,South,2020-04-08
757197,67,East,2022-07-02
473879,37,West,2020-02-12
316674,73,South,2021-05-19
982078,78,North,2023-11-22
492493,70,South,2023-08-19
516191,50,South,2020-02-03
659446,18,West,2024-07-06
925130,52,West,2021-09-02
927700,67,North,2022-09-22
483837,40,North,2024-01-28
446993,64,North,2021-02-21
100682,34,East,2020-05-17
419341,56,South,2023-02-22
931080,65,East,2024-04-03
397081,29,West,2021-03-12
947834,64,East,2024-03-03
545258,61,East,2024-06-09
431521,40,West,2020-08-03
550194,77,East,2021-01-29
276286,44,East,2021-05-05
296923,30,North,2021-05-14
930902,33,East,2022-08-13
230060,31,West,2022-11-26
339286,38,East,2022-03-20
478292,52,East,2020-12-29
881130,19,West,2020-04-25
539851,53,North,2021-09-16
314348,67,East,2022-08-16
292074,55,North,2023-01-29
946712,25,West,2020-03-19
296802,30,South,2022-09-19
766914,60,South,2021-03-26
108283,53,North,2021-06-06
205351,68,South,2024-01-12
838216,23,East,2024-07-13
981702,66,East,2024-12-28
831490,67,South,2024-08-13
605159,73,West,2023-02-26
658649,44,South,2025-01-22
716027,56,North,2022-04-13
994217,58,East,2020-09-12
138244,19,West,2020-07-21
587734,59,East,2020-11-09
125867,29,West,2024-09-21
203757,36,East,2020-09-20
687197,56,North,2024-02-14
939584,27,South,2023-10-02
508334,29,South,2024-07-23
806991,74,South,2024-08-18
109122,21,North,2022-06-08
941960,60,North,2021-10-19
390487,27,West,2024-02-13
154812,59,South,2020-03-03
403579,51,West,2021-01-14
607220,70,West,2020-07-04
496459,51,North,2023-06-10
503649,27,North,2023-12-29
