customer_id,transaction_date,transaction_amount,product_category
725117,2023-07-30,2703.08,Loans
306475,2025-01-13,3868.74,Mortgage
814274,2023-01-31,3489.2,Loans
407882,2023-07-18,1242.5,Credit Card
919939,2023-09-17,2017.88,Loans
697657,2023-04-30,2407.41,Insurance
725778,2024-05-20,370.27,Insurance
676769,2023-12-30,2836.82,Savings
902225,2023-08-04,4186.31,Loans
765679,2023-10-26,827.32,Mortgage
718487,2024-01-15,1576.24,Loans
673460,2023-06-15,3310.56,Credit Card
885990,2024-11-21,1786.58,Insurance
289883,2025-01-27,3923.99,Loans
191738,2024-04-07,2977.46,Mortgage
732482,2023-09-19,2408.89,Mortgage
619019,2023-03-06,149.96,Loans
831490,2024-10-23,1970.35,Mortgage
325055,2024-03-19,328.7,Credit Card
996341,2023-08-18,625.76,Loans
854971,2024-12-09,875.49,Savings
142655,2024-02-07,4014.35,Credit Card
850240,2024-03-27,4605.12,Savings
601786,2023-05-01,2717.76,Mortgage
236522,2023-09-07,2754.26,Credit Card
207335,2024-08-14,2142.79,Savings
442758,2024-11-14,2741.88,Savings
750574,2024-08-01,2253.86,Savings
684920,2023-03-23,3693.39,Loans
807922,2024-07-26,3390.88,Loans
992032,2023-08-19,156.54,Insurance
306767,2023-02-10,289.69,Credit Card
621115,2024-02-10,1338.74,Insurance
606348,2024-10-08,350.64,Savings
633448,2024-01-20,3734.51,Insurance
844172,2024-12-08,3724.65,Mortgage
105012,2023-06-07,709.1,Mortgage
891727,2024-07-23,2042.3,Savings
716380,2023-02-13,996.61,Loans
599262,2024-02-20,2444.14,Insurance
214888,2023-05-07,4373.2,Credit Card
592734,2023-02-05,923.96,Savings
935774,2024-10-27,1103.23,Mortgage
494592,2023-02-01,4080.86,Insurance
313998,2024-12-22,675.35,Loans
339194,2023-02-16,1738.36,Credit Card
158795,2024-10-25,307.23,Savings
115472,2024-12-01,2530.1,Loans
676117,2023-11-23,3688.87,Insurance
315778,2023-11-06,1774.22,Mortgage
191262,2023-07-29,3398.06,Insurance
407927,2025-01-18,1327.02,Savings
266350,2025-01-29,2927.49,Credit Card
402192,2024-07-06,1992.94,Savings
992551,2024-07-14,369.75,Insurance
556869,2024-10-09,2660.45,Insurance
675480,2023-06-24,2094.13,Insurance
880020,2023-02-27,1354.12,Credit Card
365747,2023-03-07,3820.08,Mortgage
615580,2024-10-27,1693.59,Savings
848927,2024-10-12,1790.68,Credit Card
143562,2024-02-27,4363.57,Loans
429095,2023-04-21,3600.69,Insurance
113288,2024-12-03,4106.36,Savings
285669,2023-11-04,4601.14,Mortgage
308151,2024-10-03,981.52,Credit Card
833582,2023-03-31,4761.04,Credit Card
476387,2024-05-05,3290.38,Credit Card
442351,2024-02-28,58.46,Mortgage
840720,2023-03-22,1607.23,Insurance
482399,2024-03-12,3927.99,Loans
701837,2024-05-14,3568.29,Mortgage
592402,2024-02-28,339.69,Credit Card
466706,2023-05-29,4669.87,Mortgage
570009,2024-08-03,2491.29,Credit Card
695873,2024-05-01,914.96,Mortgage
799690,2023-11-02,3533.72,Insurance
682394,2024-06-20,630.26,Mortgage
446456,2024-02-11,3819.95,Loans
474999,2024-01-02,2825.74,Loans
793056,2023-08-16,1412.39,Insurance
881159,2023-09-29,4312.2,Savings
201159,2023-09-17,663.9,Savings
668092,2024-06-27,3512.76,Loans
762816,2024-12-05,4155.93,Mortgage
442122,2023-08-26,1310.86,Savings
744454,2024-06-03,3054.77,Insurance
559989,2024-08-26,522.04,Credit Card
469972,2023-08-09,3339.9,Mortgage
105699,2023-10-16,392.8,Loans
682140,2023-06-25,596.9,Insurance
584999,2023-08-25,1853.47,Savings
634986,2024-05-27,523.16,Loans
721835,2024-12-08,2702.46,Mortgage
818769,2023-03-18,1575.75,Mortgage
989196,2024-04-11,3854.19,Loans
726262,2024-05-15,1917.39,Savings
985902,2023-06-03,3402.76,Credit Card
362401,2023-07-03,1920.08,Credit Card
984427,2023-12-08,3475.25,Insurance
699651,2024-08-31,3858.31,Mortgage
674674,2024-04-13,2699.84,Insurance
208508,2024-02-14,358.87,Loans
622424,2023-09-10,1758.42,Insurance
122224,2024-01-13,2634.23,Credit Card
758333,2024-11-27,330.28,Credit Card
336459,2024-05-02,4609.04,Loans
231019,2023-05-16,3436.9,Insurance
527125,2024-01-16,2899.84,Credit Card
821461,2023-02-16,1685.7,Credit Card
482794,2025-01-02,4471.94,Insurance
502587,2023-07-05,3027.45,Insurance
392121,2023-06-29,2912.58,Mortgage
307640,2023-03-24,3873.28,Insurance
931251,2024-12-05,2781.27,Loans
825789,2024-02-04,4918.09,Credit Card
854964,2023-03-22,4573.5,Mortgage
207383,2023-12-29,2758.68,Savings
872776,2023-06-26,331.36,Loans
780113,2024-04-22,1954.01,Mortgage
458805,2024-06-30,2637.9,Savings
527855,2023-07-23,2153.7,Mortgage
599003,2023-04-13,2408.64,Insurance
826951,2023-03-11,4878.81,Mortgage
211469,2023-05-11,895.09,Savings
579906,2024-02-29,168.63,Credit Card
119225,2023-09-18,4886.94,Savings
196536,2024-04-15,488.77,Credit Card
589501,2023-09-09,1532.13,Loans
960051,2023-11-15,2273.78,Credit Card
510014,2023-08-20,1163.85,Insurance
136161,2023-03-27,574.38,Insurance
956949,2023-05-17,2462.28,Insurance
135423,2023-05-29,2642.07,Insurance
514261,2024-09-23,1734.08,Mortgage
758099,2024-09-25,2756.02,Loans
491751,2024-11-26,1595.57,Savings
214976,2024-05-27,650.19,Credit Card
445189,2023-04-26,3316.99,Insurance
459102,2023-03-22,2849.23,Insurance
902234,2023-10-05,2302.1,Credit Card
373977,2024-03-10,3686.48,Credit Card
433285,2024-06-19,1933.65,Mortgage
308342,2023-05-26,2139.41,Mortgage
288003,2024-02-23,4568.52,Savings
959691,2025-01-21,2746.59,Credit Card
131208,2024-03-06,4780.8,Insurance
689001,2024-07-24,634.19,Mortgage
452870,2024-05-11,200.65,Loans
895534,2023-10-30,1633.09,Savings
525679,2024-12-28,4450.33,Loans
835481,2024-08-22,4005.07,Mortgage
610641,2024-05-06,1578.16,Credit Card
384823,2024-05-24,2837.15,Credit Card
395395,2025-01-05,1028.48,Mortgage
433597,2023-03-17,765.97,Savings
493437,2024-08-01,4152.38,Savings
275140,2024-12-19,4549.94,Credit Card
551787,2023-11-17,188.9,Savings
342194,2024-04-05,2004.46,Insurance
939542,2023-02-11,1492.68,Savings
619261,2023-08-02,3016.63,Credit Card
710246,2024-08-18,3448.03,Savings
275140,2024-11-28,142.29,Insurance
683275,2024-06-19,3157.26,Mortgage
103567,2023-02-12,2363.47,Insurance
782886,2024-07-26,797.91,Insurance
233736,2024-11-01,3986.99,Mortgage
111832,2023-06-05,2141.87,Mortgage
863542,2024-02-23,3984.07,Credit Card
594477,2023-10-05,208.4,Savings
839573,2024-10-28,1184.31,Credit Card
159996,2023-04-19,2546.44,Credit Card
858673,2023-10-15,3184.2,Savings
666423,2023-03-30,2928.23,Loans
748318,2024-09-27,1819.57,Credit Card
356052,2023-09-24,3741.61,Insurance
348343,2024-09-15,3729.77,Loans
185493,2023-03-17,4394.89,Savings
546359,2023-04-08,2288.0,Mortgage
245393,2024-04-12,2492.56,Savings
937571,2023-05-03,996.07,Loans
493906,2023-03-02,1687.06,Credit Card
386508,2023-02-18,2339.86,Credit Card
313209,2023-10-16,808.03,Insurance
168438,2023-06-20,4653.03,Loans
742063,2024-09-02,2752.42,Loans
714459,2023-03-14,3236.94,Mortgage
633309,2023-05-07,116.47,Mortgage
498180,2023-08-23,121.74,Savings
741068,2024-12-04,4621.57,Mortgage
898090,2024-02-12,1953.8,Loans
260540,2023-12-23,2432.31,Loans
162589,2024-09-24,3341.94,Credit Card
948145,2023-04-05,1257.05,Insurance
954468,2024-08-05,560.02,Savings
410773,2023-09-23,3822.28,Savings
539673,2024-07-19,2661.88,Credit Card
264770,2023-07-02,2502.6,Loans
153789,2024-02-24,3264.39,Savings
868983,2023-03-06,753.34,Credit Card
389298,2023-06-05,3256.34,Loans
244391,2024-01-02,3023.57,Loans
545205,2024-04-20,808.67,Savings
869604,2023-05-21,2225.99,Savings
609052,2023-11-06,4123.95,Loans
188130,2024-06-05,2979.15,Insurance
506147,2023-11-23,1831.45,Savings
533682,2023-11-19,606.54,Loans
919405,2025-01-06,4220.22,Savings
472476,2024-09-27,2759.27,Loans
549888,2023-06-12,877.15,Mortgage
524806,2024-07-18,671.48,Savings
356110,2023-11-13,4917.61,Credit Card
649877,2024-06-10,4933.53,Credit Card
466783,2024-02-19,1800.39,Credit Card
212775,2024-10-16,4016.68,Credit Card
501007,2025-01-23,253.77,Credit Card
456546,2024-01-07,3777.42,Mortgage
436183,2025-01-09,105.08,Savings
311455,2023-02-23,1982.61,Savings
656809,2023-12-22,2117.27,Insurance
444849,2023-07-12,4585.16,Insurance
617343,2024-02-08,4039.38,Savings
500662,2023-07-12,1487.24,Mortgage
630779,2023-12-20,945.34,Savings
355213,2023-06-30,1675.35,Insurance
773238,2023-07-17,4892.67,Savings
943738,2023-09-01,1405.49,Savings
828819,2025-01-26,4585.06,Mortgage
183309,2023-11-27,1823.86,Savings
168364,2024-06-28,4594.15,Insurance
244068,2023-09-30,89.39,Savings
489452,2023-07-27,817.57,Savings
133843,2023-07-13,458.2,Loans
920968,2023-07-12,2006.99,Savings
503186,2025-01-22,382.66,Insurance
332313,2023-08-09,1978.63,Insurance
530298,2023-11-21,3801.36,Mortgage
648571,2023-08-25,1898.6,Savings
126850,2024-05-24,4181.45,Insurance
746362,2023-10-11,267.63,Credit Card
568701,2024-06-15,4827.95,Loans
116649,2024-06-14,894.97,Insurance
113288,2024-02-16,4157.42,Mortgage
428245,2024-11-28,1715.89,Credit Card
667527,2023-12-31,3774.61,Credit Card
445125,2024-03-24,4260.64,Loans
574982,2024-07-20,4720.59,Insurance
350524,2024-11-07,2933.24,Savings
468455,2023-05-23,2306.02,Loans
414899,2024-10-16,1805.14,Loans
334231,2024-05-23,1566.65,Mortgage
470353,2023-03-11,4342.14,Loans
113621,2023-02-14,2128.14,Credit Card
750574,2023-06-13,2924.93,Credit Card
815668,2023-08-28,1961.91,Mortgage
185493,2023-08-18,4174.38,Savings
191434,2024-08-21,2932.38,Savings
983081,2024-09-14,1224.41,Loans
849602,2023-12-15,1734.06,Mortgage
135278,2023-05-14,1853.5,Insurance
309688,2024-03-29,3679.18,Mortgage
821142,2023-10-09,3422.77,Savings
288724,2024-05-26,417.85,Loans
990702,2023-11-04,3537.24,Credit Card
494961,2023-05-20,4808.84,Loans
969108,2023-05-31,1063.36,Insurance
568551,2024-07-16,3985.91,Loans
439393,2025-01-21,1553.97,Credit Card
113210,2024-07-04,3835.58,Mortgage
945822,2024-08-04,1528.04,Loans
849990,2024-03-28,570.4,Credit Card
578306,2025-01-10,2854.91,Insurance
694866,2025-01-09,4666.72,Mortgage
651397,2024-08-19,4870.08,Insurance
799550,2024-03-04,2483.44,Insurance
863840,2024-12-22,2529.0,Loans
288565,2024-10-16,3074.3,Credit Card
525409,2024-02-02,2437.63,Insurance
414322,2024-12-21,1934.43,Insurance
545239,2023-10-30,2866.43,Mortgage
114943,2023-05-27,4859.54,Loans
523880,2023-08-24,2807.79,Insurance
628877,2023-08-31,623.49,Loans
815673,2023-08-05,1313.46,Loans
566518,2023-03-05,2176.73,Insurance
203467,2024-08-24,3563.17,Credit Card
225974,2024-11-06,3880.06,Savings
413524,2024-10-04,3500.13,Loans
884381,2023-03-10,4446.12,Credit Card
784807,2023-03-06,3379.15,Insurance
230060,2023-12-07,232.7,Loans
952903,2024-05-14,2143.37,Credit Card
141485,2023-02-01,3228.83,Insurance
285395,2024-02-28,171.2,Loans
802653,2024-06-09,3755.62,Savings
258173,2023-09-11,361.97,Insurance
860019,2024-01-19,4550.6,Savings
215631,2024-03-02,3794.24,Mortgage
918813,2023-03-05,2064.36,Loans
792536,2024-12-18,1043.98,Insurance
788430,2023-12-26,4136.35,Insurance
992832,2024-08-10,4645.29,Savings
830521,2023-07-20,4281.57,Loans
781179,2023-03-05,4802.15,Loans
767103,2024-03-04,1906.37,Credit Card
244918,2024-08-29,2995.36,Insurance
717712,2023-03-25,4072.83,Mortgage
995184,2023-11-26,1011.78,Savings
851694,2023-08-22,3535.73,Credit Card
690628,2024-11-09,3666.48,Savings
455862,2024-01-02,108.52,Savings
835161,2024-01-18,4446.51,Mortgage
396180,2024-08-12,2854.43,Insurance
412453,2023-12-24,4053.72,Insurance
797161,2023-10-28,3697.73,Mortgage
523269,2023-09-23,174.22,Insurance
574103,2024-11-30,856.93,Loans
918390,2025-01-17,2736.27,Mortgage
746876,2023-05-04,1874.33,Insurance
255295,2025-01-20,1806.54,Loans
549617,2023-09-04,1775.69,Mortgage
807883,2024-05-03,3554.42,Insurance
404251,2023-10-22,4848.87,Mortgage
790845,2023-07-17,2693.55,Loans
155219,2024-01-02,3972.04,Savings
807972,2024-03-20,2334.59,Credit Card
987628,2023-02-18,3510.41,Insurance
144172,2023-08-27,2893.64,Savings
433168,2024-06-01,3121.92,Credit Card
244582,2023-02-23,450.47,Credit Card
339546,2024-10-08,1635.16,Insurance
962444,2023-10-08,926.41,Loans
523362,2024-01-01,3426.24,Mortgage
718906,2024-08-05,4501.11,Credit Card
472482,2023-05-20,664.74,Credit Card
256903,2024-09-07,4343.1,Mortgage
624238,2024-08-07,2270.08,Mortgage
210284,2024-12-09,1603.84,Credit Card
179415,2024-08-03,3766.88,Loans
496673,2024-11-16,4475.81,Mortgage
634535,2024-01-03,58.34,Insurance
998633,2024-03-16,4898.15,Mortgage
459587,2023-11-19,2242.36,Savings
360746,2024-01-19,1224.29,Savings
929232,2024-12-24,2047.06,Loans
810827,2024-08-25,18.03,Credit Card
718630,2023-10-16,4712.17,Loans
214937,2023-05-28,1327.64,Credit Card
703836,2024-10-20,3903.57,Insurance
391856,2023-07-03,2766.11,Insurance
307199,2024-10-19,4585.59,Savings
810578,2023-04-07,3283.19,Insurance
716738,2025-01-19,1592.6,Mortgage
315778,2023-10-13,4795.56,Credit Card
206744,2024-12-12,3828.51,Savings
837392,2024-09-14,4664.85,Insurance
203972,2024-09-10,127.12,Insurance
289796,2024-05-18,2178.95,Insurance
667678,2023-12-07,4585.49,Mortgage
307199,2024-03-28,3432.21,Loans
205584,2023-07-06,3639.41,Credit Card
766850,2023-07-16,3742.83,Credit Card
724414,2024-03-17,2733.59,Savings
797074,2023-12-20,1396.18,Mortgage
393282,2023-12-27,2504.01,Insurance
836216,2023-10-28,2063.78,Insurance
237681,2023-06-25,3137.4,Savings
765590,2023-07-22,229.55,Insurance
661973,2024-12-30,1499.56,Loans
435241,2024-02-05,1069.04,Insurance
110543,2024-11-10,1461.74,Loans
910243,2024-09-13,1212.48,Credit Card
222459,2025-01-12,88.51,Insurance
774157,2024-10-27,3886.46,Savings
299767,2023-01-30,4041.67,Insurance
333647,2024-10-05,3177.35,Credit Card
261956,2023-10-13,4163.32,Insurance
718861,2024-03-31,2929.03,Mortgage
419809,2023-10-21,3393.85,Mortgage
781270,2023-04-12,4110.33,Credit Card
181610,2025-01-04,1736.58,Savings
232812,2023-09-19,1943.65,Credit Card
408485,2024-08-23,1060.74,Mortgage
157217,2023-03-22,2816.74,Mortgage
478186,2023-03-21,3549.22,Savings
594127,2023-10-17,2450.71,Insurance
889041,2024-05-02,3569.27,Mortgage
915022,2024-04-24,492.54,Savings
243293,2024-03-12,1139.76,Savings
939531,2023-04-25,4996.7,Credit Card
210709,2024-04-04,1953.83,Mortgage
184744,2023-06-26,870.86,Credit Card
807427,2023-03-27,305.39,Savings
351480,2023-05-23,1647.41,Insurance
601345,2023-10-10,3003.49,Mortgage
699196,2024-03-17,1947.23,Credit Card
616971,2023-07-29,237.11,Mortgage
727538,2023-12-03,3370.72,Insurance
397987,2023-12-26,2839.78,Savings
657210,2024-09-17,1994.02,Mortgage
633739,2024-03-10,24.32,Insurance
501865,2024-09-07,2992.26,Savings
718797,2023-06-17,1107.11,Loans
258169,2023-10-28,4914.43,Loans
257060,2024-10-14,2386.34,Savings
358625,2023-07-04,3154.53,Insurance
205981,2023-12-22,4496.77,Savings
836756,2024-09-09,232.91,Insurance
143257,2023-12-25,104.56,Credit Card
237407,2023-06-28,1814.8,Loans
724554,2024-08-01,3414.45,Mortgage
226859,2024-05-24,3907.32,Insurance
142632,2024-06-05,1399.79,Insurance
412646,2023-02-07,1837.97,Insurance
129136,2024-02-04,1262.58,Mortgage
538232,2024-10-26,2041.82,Mortgage
532166,2023-03-09,3037.06,Insurance
150963,2024-08-26,847.19,Loans
969499,2024-06-23,3393.72,Insurance
806879,2024-11-14,3296.47,Savings
393362,2024-11-25,4517.03,Insurance
615000,2023-02-22,3579.45,Credit Card
603003,2024-10-02,3511.03,Savings
184577,2024-10-27,37.91,Insurance
206686,2024-11-14,1878.45,Savings
801051,2024-10-24,2632.83,Savings
339569,2024-09-16,208.42,Mortgage
476974,2023-04-15,337.8,Loans
974574,2024-05-21,1642.11,Mortgage
503245,2023-08-26,3532.39,Loans
670725,2023-05-23,542.67,Savings
336479,2023-09-26,1188.66,Insurance
609641,2024-06-20,2213.88,Loans
391437,2023-12-12,3984.84,Credit Card
692654,2024-08-28,4654.6,Loans
225471,2024-08-08,3592.5,Insurance
147313,2024-01-19,2781.44,Insurance
765217,2023-12-21,2531.45,Insurance
237671,2024-02-05,4685.5,Mortgage
189189,2023-10-29,1768.83,Credit Card
653390,2024-06-14,79.03,Mortgage
512489,2024-12-28,3738.24,Insurance
869699,2024-07-24,2881.44,Credit Card
264801,2024-02-10,3339.0,Loans
315994,2023-04-24,1095.52,Insurance
510000,2023-09-18,4042.65,Insurance
310085,2025-01-19,37.0,Credit Card
422833,2023-04-30,915.88,Mortgage
227375,2023-02-01,706.7,Insurance
809298,2023-05-09,2357.68,Insurance
742400,2023-07-19,2601.66,Mortgage
625605,2023-11-04,4820.76,Mortgage
961234,2023-03-23,1678.26,Credit Card
724012,2024-07-19,4407.89,Savings
744910,2023-02-08,3397.13,Insurance
328513,2023-02-06,2845.35,Credit Card
157738,2024-12-14,3563.06,Insurance
361152,2024-09-29,997.3,Credit Card
487694,2024-11-27,395.18,Insurance
195616,2023-01-30,2285.8,Mortgage
419949,2024-11-02,2287.34,Loans
179881,2024-12-01,4463.02,Insurance
364854,2024-03-17,3994.04,Loans
273844,2023-12-05,4137.34,Loans
796033,2024-09-03,3639.92,Credit Card
591498,2023-02-13,4600.1,Credit Card
736242,2023-05-16,4987.57,Mortgage
650827,2024-04-04,2683.8,Loans
981833,2024-01-14,4565.16,Savings
106951,2024-11-21,4008.04,Credit Card
888236,2023-06-13,2504.81,Loans
214716,2023-08-22,444.21,Credit Card
645830,2023-09-14,618.53,Savings
202660,2023-12-29,1833.22,Credit Card
382451,2023-07-19,4710.86,Insurance
766305,2024-10-20,1605.5,Credit Card
688553,2025-01-04,1696.4,Savings
614228,2023-03-07,2861.09,Insurance
412714,2023-11-18,3293.36,Mortgage
188130,2023-10-26,3146.88,Credit Card
174817,2024-05-12,760.79,Loans
143257,2024-09-07,2592.5,Loans
114417,2024-04-18,4431.27,Savings
450978,2023-03-12,1533.6,Credit Card
756870,2023-08-02,3052.86,Mortgage
266998,2024-10-09,3140.28,Loans
223467,2025-01-25,2506.36,Savings
276762,2023-04-03,884.69,Mortgage
386512,2023-11-13,3858.46,Credit Card
897876,2024-07-04,4856.47,Mortgage
260953,2024-05-13,336.84,Loans
429776,2024-05-23,4973.72,Insurance
311301,2023-10-29,1458.3,Insurance
510014,2023-05-13,2560.84,Credit Card
387352,2023-05-26,4533.6,Credit Card
644291,2024-04-27,1879.77,Credit Card
922179,2023-07-13,2515.24,Credit Card
464730,2024-05-01,4527.21,Insurance
140255,2024-01-09,4796.1,Loans
252764,2023-03-21,2481.58,Loans
392990,2024-07-06,3850.54,Credit Card
813760,2024-09-15,397.75,Savings
660862,2024-01-04,3551.83,Credit Card
578323,2023-07-18,189.86,Mortgage
884536,2024-12-14,1488.37,Insurance
653516,2024-11-27,3037.65,Savings
967674,2024-07-08,1453.6,Mortgage
639989,2024-10-22,3756.53,Savings
557791,2024-06-28,911.14,Mortgage
614228,2023-07-10,4600.96,Insurance
623963,2023-11-11,3336.99,Insurance
156867,2023-12-28,4155.08,Loans
301708,2025-01-28,1461.41,Credit Card
506003,2023-07-31,2644.55,Mortgage
835343,2023-10-15,1245.5,Loans
135419,2024-01-02,1047.21,Savings
915669,2023-03-04,3808.56,Loans
688553,2023-03-28,4099.84,Savings
882566,2023-02-21,4929.63,Mortgage
195900,2024-09-04,4572.27,Loans
736964,2023-12-27,2920.02,Insurance
509824,2024-01-31,4443.81,Loans
183568,2023-06-07,1227.21,Credit Card
471180,2023-10-19,2686.14,Credit Card
109818,2023-03-06,4159.29,Credit Card
821461,2023-10-22,2682.18,Mortgage
543663,2024-08-12,3796.92,Loans
208136,2024-05-25,293.07,Savings
954182,2024-07-26,4879.31,Loans
805512,2024-08-20,1656.79,Loans
778718,2023-06-28,984.94,Insurance
248444,2023-05-21,1971.43,Mortgage
183109,2024-10-05,4519.52,Savings
881377,2024-08-14,3162.3,Insurance
217727,2023-02-17,3552.07,Savings
225801,2024-05-03,3773.21,Credit Card
211266,2023-09-02,4827.36,Savings
307713,2024-08-10,4471.99,Loans
349497,2023-09-21,2196.92,Insurance
384021,2023-09-12,3788.99,Insurance
308151,2024-07-09,3941.75,Insurance
352697,2023-11-03,2103.37,Loans
363538,2023-05-21,164.82,Loans
463690,2023-07-31,4929.94,Mortgage
775561,2023-05-15,3651.69,Loans
754724,2023-06-21,2129.01,Loans
281649,2024-04-20,2917.04,Loans
608205,2023-03-26,4445.95,Insurance
450501,2024-05-27,2576.24,Insurance
211987,2024-02-09,1296.98,Loans
840792,2023-03-30,2224.91,Mortgage
668314,2023-03-27,783.57,Credit Card
493906,2023-08-26,1159.97,Savings
784008,2023-08-06,922.55,Mortgage
854542,2024-03-06,4534.96,Insurance
469243,2025-01-28,4000.07,Credit Card
467499,2024-08-28,3829.29,Mortgage
568106,2023-10-05,4975.67,Savings
608173,2024-08-12,1208.93,Insurance
680641,2023-06-29,4202.8,Insurance
437758,2023-07-23,3284.38,Credit Card
495495,2024-08-11,2419.77,Credit Card
518343,2024-08-15,4459.18,Credit Card
878702,2024-12-22,3406.76,Mortgage
859042,2024-07-03,2446.29,Loans
536378,2023-09-22,70.27,Credit Card
885285,2024-12-29,4491.07,Loans
270978,2024-02-26,1071.46,Savings
812922,2024-08-16,1730.87,Credit Card
228718,2023-11-10,4262.11,Loans
941955,2024-03-15,1598.9,Credit Card
335365,2024-05-31,3510.67,Mortgage
799011,2024-03-26,618.05,Mortgage
590331,2024-03-12,3365.41,Loans
906604,2024-01-10,184.46,Insurance
938361,2024-12-08,1802.21,Mortgage
802063,2023-10-21,1118.31,Credit Card
931251,2023-11-13,3778.96,Credit Card
832414,2023-09-25,3925.04,Loans
685721,2025-01-02,2323.81,Insurance
743065,2024-05-11,2568.15,Loans
824329,2023-10-16,4646.91,Insurance
257630,2023-08-24,1991.99,Credit Card
164716,2024-09-25,2602.77,Mortgage
664851,2023-02-18,538.42,Mortgage
439877,2024-03-11,3183.55,Insurance
241206,2023-08-05,2593.91,Credit Card
564337,2024-09-16,2523.93,Mortgage
775217,2023-08-22,4713.39,Insurance
391008,2024-07-07,3132.34,Insurance
658529,2024-05-12,4996.39,Credit Card
492493,2023-08-01,3917.51,Loans
797463,2024-10-27,2403.32,Credit Card
138776,2024-10-29,3556.69,Savings
690202,2023-08-22,3215.14,Mortgage
186265,2023-09-04,3491.4,Mortgage
771419,2023-10-18,2799.18,Loans
744500,2023-11-16,4619.96,Mortgage
350590,2024-11-29,3830.49,Savings
576359,2024-10-17,3307.41,Mortgage
171653,2023-02-22,2622.36,Insurance
730247,2023-04-09,1805.08,Credit Card
543416,2024-01-01,785.17,Credit Card
753255,2023-05-25,2925.53,Savings
867468,2024-01-30,1320.08,Mortgage
227099,2023-12-23,3646.98,Loans
941040,2025-01-25,3770.95,Mortgage
772498,2023-10-05,2310.85,Loans
478555,2025-01-20,4787.28,Insurance
136447,2023-12-16,2459.79,Loans
647957,2025-01-21,4576.13,Mortgage
641530,2023-08-31,1528.0,Loans
385487,2023-04-29,2081.14,Credit Card
853550,2024-08-05,472.56,Loans
844881,2023-04-19,4252.67,Loans
440876,2024-09-04,3299.52,Mortgage
693696,2023-09-16,1649.22,Savings
947518,2023-07-02,4006.08,Insurance
653390,2024-03-01,2828.48,Mortgage
275628,2024-12-04,1473.55,Savings
759542,2024-06-18,1585.33,Savings
284064,2024-05-02,4260.96,Loans
106815,2024-03-26,345.9,Credit Card
537392,2024-04-04,2617.62,Loans
960241,2024-09-16,469.86,Savings
727178,2023-09-09,356.78,Savings
946250,2023-12-30,2711.62,Savings
927199,2024-10-04,4573.78,Loans
477904,2024-10-03,3416.35,Insurance
522386,2024-10-12,3495.07,Savings
207350,2023-11-25,3576.69,Insurance
850664,2025-01-10,912.51,Credit Card
238811,2024-11-18,1727.68,Insurance
762779,2023-11-25,3191.27,Loans
229975,2023-04-14,4687.53,Mortgage
794901,2023-05-05,140.15,Credit Card
152985,2024-02-25,3300.49,Savings
889009,2023-08-01,4224.56,Insurance
458725,2023-05-04,708.53,Savings
661460,2024-01-04,1876.83,Savings
734337,2024-09-20,2494.34,Credit Card
917537,2024-07-21,2023.6,Mortgage
153395,2023-07-19,135.85,Savings
931969,2023-07-23,528.45,Loans
532166,2024-07-07,2249.83,Savings
752893,2023-02-14,1182.08,Insurance
973394,2023-12-15,3967.97,Mortgage
422840,2023-08-26,3292.26,Savings
308077,2024-03-13,2021.12,Insurance
914400,2023-10-24,583.08,Insurance
